title,price,location,url,page
Sıfır Ibanez grgr221pa-aqb + Marshall mh15 + Marshall ms4,20.000 TL,"İstanbul
Sarıyer",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-sifir-ibanez-grgr221pa-aqb-plus-marshall-mh15-plus-marshall-ms4-1224814792/detay,3
Fender Squier MM Strat - 3 aylık,6.000 TL,"Tekirdağ
Çorlu",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-squier-mm-strat-3-aylik-1224811165/detay,3
Gretsch G5420T Electromatic,37.500 TL,"İstanbul
Kadıköy",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-gretsch-g5420t-electromatic-1224806142/detay,3
IBANEZ RG 550 GENESİS SIFIR 2024 ÜRETİM,32.000 TL,"İzmir
Karşıyaka",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-rg-550-genesis-sifir-2024-uretim-1224804515/detay,3
Fender SRV Stratocaster,85.000 TL,"Eskişehir
Tepebaşı",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-fender-srv-stratocaster-1224804423/detay,3
IBANEZ GİO GRG121DX kısa süreliğine...,6.000 TL,"Samsun
Atakum",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-ibanez-gio-grg121dx-kisa-sureligine-1224801495/detay,3
cruzer gitar,8.000 TL,"Edirne
Merkez",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-cruzer-gitar-1224800899/detay,3
DBZ Cavallo AB - Black Gross,25.000 TL,"Kayseri
Kocasinan",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-dbz-cavallo-ab-black-gross-1224798887/detay,3
Jackson JS11 Elektro Gitar + Blackstar Stereo 10 Amfi,12.500 TL,"İstanbul
Şişli",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-jackson-js11-elektro-gitar-plus-blackstar-stereo-10-amfi-1224568278/detay,3
ESP LTD EC-256 Snow White,20.000 TL,"İzmir
Bornova",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-esp-ltd-ec-256-snow-white-1224570820/detay,3
Squier Bullet Stratocaster,7.500 TL,"Ankara
Keçiören",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-squier-bullet-stratocaster-1224568118/detay,3
Epiphone Les Paul Standart,22.500 TL,"İzmir
Buca",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-epiphone-les-paul-standart-1224788855/detay,3
CORT X6 SPECIAL + ROLAND EDIROL UA-25 24 Bit Harici Ses Kartı,13.000 TL,"Eskişehir
Tepebaşı",https://www.sahibinden.com/ilan/ikinci-el-ve-sifir-alisveris-muzik-muzik-aletleri-cort-x6-special-plus-roland-edirol-ua-25-24-bit-harici-ses-karti-1224788147/detay,3
